Ciudad,Periodo_Dato,Hoja_Fuente_DANE,% población en edad de trabajar,Tasa Global de Participación (TGP),Tasa de Ocupación (TO),Tasa de Desocupación (TD),Tasa de Subocupación (TS),Población total,Poblacion Total mill.,Población en edad de trabajar (PET),Fuerza de trabajo,Población ocupada,Población desocupada,Población fuera de la fuerza de trabajo,Población subocupada,Fuerza de trabajo potencial
Bogotá D.C.,Abr 25 - Mar 26,Año_móvil_32_ciudades,82.5343,70.2727,64.7086,7.9178,6.784,8084.7615,8084761.5,6672.7047,194.2848,4317.8151,371.2738,1983.6158,318.1065,
Medellín A.M.,Abr 25 - Mar 26,Año_móvil_32_ciudades,83.6853,66.6229,61.3055,7.9814,6.0979,4213.1423,4213142.300000001,3525.7803,98.7586,2161.4967,187.4807,1176.8028,143.2373,
Cali A.M.,Abr 25 - Mar 26,Año_móvil_32_ciudades,80.1988,64.1798,58.6868,8.5588,6.5229,2396.0196,2396019.6,1921.5783,72.4359,1127.7128,105.5522,688.3133,80.4446,
Barranquilla A.M.,Abr 25 - Mar 26,Año_móvil_32_ciudades,77.774,63.8746,57.7411,9.6024,8.5809,2065.2288,2065228.7999999998,1606.2119,76.2545,927.4439,98.5167,580.2512,88.0363,
Bucaramanga A.M.,Abr 25 - Mar 26,Año_móvil_32_ciudades,81.297,64.8975,59.6528,8.0815,4.939,1255.6348,1255634.8,1020.7939,21.4638,608.9326,53.5375,358.3238,32.7192,
Manizales A.M.,Abr 25 - Mar 26,Año_móvil_32_ciudades,84.1325,62.2314,57.0805,8.2769,4.4477,510.1336,510133.6,429.1881,10.9084,244.9829,22.1068,162.0984,11.8795,
Pasto,Abr 25 - Mar 26,Año_móvil_32_ciudades,83.7163,69.1116,62.6751,9.3132,14.1054,307.8733,307873.3,257.7403,14.3427,161.5389,16.5895,79.6118,25.1257,
Pereira A.M.,Abr 25 - Mar 26,Año_móvil_32_ciudades,82.7655,61.1691,56.0093,8.4353,4.9868,679.494,679494.0,562.3867,11.9822,314.989,29.018,218.3797,17.1551,
Cúcuta A.M.,Abr 25 - Mar 26,Año_móvil_32_ciudades,78.0004,62.48,55.5264,11.1293,6.7538,1012.4705,1012470.5,789.7308,32.7977,438.5092,54.9148,296.3068,33.3248,
Ibagué,Abr 25 - Mar 26,Año_móvil_32_ciudades,82.642,59.7179,52.7219,11.7151,5.103,511.4739,511473.9,422.6925,5.9447,222.8516,29.5716,170.2693,12.8813,
